"Fcast_date";"DATE";"Station.Name";"TMAX_ENSEMBLE_AVG";"TMIN_ENSEMBLE_AVG";"TAVG_ENSEMBLE_AVG";"RAIN_ENSEMBLE_AVG";"Zona_Pas";"Admin"
"2019-12-29";2019-12-29;"Rosario Aerodrome";37,01;22,3;29,66;0,16;"Nucleo Norte";"Santa Fe"
"2019-12-29";2019-12-30;"Rosario Aerodrome";33,95;21,6;27,78;3,05;"Nucleo Norte";"Santa Fe"
"2019-12-29";2019-12-31;"Rosario Aerodrome";28,57;19,45;24,01;13,57;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-01;"Rosario Aerodrome";29,18;17,73;23,45;0,1;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-02;"Rosario Aerodrome";28,56;16,07;22,32;0;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-03;"Rosario Aerodrome";29,98;16,23;23,11;0;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-04;"Rosario Aerodrome";32,04;17,54;24,79;0;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-05;"Rosario Aerodrome";32,88;17,94;25,41;0,07;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-06;"Rosario Aerodrome";32,82;19,13;25,98;2;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-07;"Rosario Aerodrome";31,66;17,8;24,73;7,4;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-08;"Rosario Aerodrome";33,14;18,35;25,74;2,69;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-09;"Rosario Aerodrome";33,59;19,7;26,64;4,21;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-10;"Rosario Aerodrome";33,8;19,76;26,78;5,19;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-11;"Rosario Aerodrome";31,84;18,54;25,19;7,42;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-12;"Rosario Aerodrome";30,44;17,29;23,86;3,87;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-13;"Rosario Aerodrome";29,49;17;23,24;3,77;"Nucleo Norte";"Santa Fe"
"2019-12-29";2019-12-29;"Reconquista Aerodrome";36,82;25,12;30,97;0,05;"Ctro N SFe";"Santa Fe"
"2019-12-29";2019-12-30;"Reconquista Aerodrome";37,4;24,25;30,83;0,3;"Ctro N SFe";"Santa Fe"
