"Fcast_date";"DATE";"Station.Name";"TMAX_ENSEMBLE_AVG";"TMIN_ENSEMBLE_AVG";"TAVG_ENSEMBLE_AVG";"RAIN_ENSEMBLE_AVG";"Zona_Pas";"Admin"
"2019-12-29";2019-12-30;"Rosario Aerodrome";30,12;20,71;25,42;6,06;"Nucleo Norte";"Santa Fe"
"2019-12-29";2019-12-31;"Rosario Aerodrome";29,47;18,55;24,01;3,23;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-01;"Rosario Aerodrome";30,4;16,97;23,69;0,03;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-02;"Rosario Aerodrome";28,77;15,81;22,29;0;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-03;"Rosario Aerodrome";29,5;16,38;22,94;0,02;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-04;"Rosario Aerodrome";31,62;17,2;24,41;0;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-05;"Rosario Aerodrome";33,8;18,17;25,99;0,59;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-06;"Rosario Aerodrome";32,87;17,81;25,34;3,49;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-07;"Rosario Aerodrome";33,18;17,58;25,38;2,06;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-08;"Rosario Aerodrome";32,69;18,37;25,53;6,53;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-09;"Rosario Aerodrome";33,58;18,87;26,23;3,69;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-10;"Rosario Aerodrome";31,82;18,7;25,26;8,43;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-11;"Rosario Aerodrome";30,5;17,36;23,93;7,03;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-12;"Rosario Aerodrome";29,79;16,77;23,28;2,9;"Nucleo Norte";"Santa Fe"
"2019-12-29";2020-01-13;"Rosario Aerodrome";28,91;16,85;22,88;3,73;"Nucleo Norte";"Santa Fe"
"2019-12-29";2019-12-30;"Reconquista Aerodrome";36,98;25,29;31,13;1,02;"Ctro N SFe";"Santa Fe"
"2019-12-29";2019-12-31;"Reconquista Aerodrome";33,95;23,53;28,74;8,81;"Ctro N SFe";"Santa Fe"
"2019-12-29";2020-01-01;"Reconquista Aerodrome";31,52;21,64;26,58;0,47;"Ctro N SFe";"Santa Fe"
"2019-12-29";2020-01-02;"Reconquista Aerodrome";30,46;20,97;25,71;0,07;"Ctro N SFe";"Santa Fe"
