"Station.Name";"DATE";"Zona_Pas";"Admin";"DAILY_MAX_TEMP";"DAILY_MIN_TEMP";"DAILY_RAIN"
"Rosario Aerodrome";2019-07-19;"N_BELT";"Santa Fe";"19.30";4,8;0
"Rosario Aerodrome";2019-07-20;"N_BELT";"Santa Fe";"23.30";7,5;0
"Rosario Aerodrome";2019-07-21;"N_BELT";"Santa Fe";"25.50";18,3;1e-04
"Rosario Aerodrome";2019-07-22;"N_BELT";"Santa Fe";"16.40";6,1;0
"Rosario Aerodrome";2019-07-23;"N_BELT";"Santa Fe";"14.60";5,8;6
"Rosario Aerodrome";2019-07-24;"N_BELT";"Santa Fe";"14.60";4,1;2
"Rosario Aerodrome";2019-07-25;"N_BELT";"Santa Fe";"9.50";6,6;22
"Rosario Aerodrome";2019-07-26;"N_BELT";"Santa Fe";"13.60";8,3;1e-04
"Rosario Aerodrome";2019-07-27;"N_BELT";"Santa Fe";"17.40";0,1;0
"Rosario Aerodrome";2019-07-28;"N_BELT";"Santa Fe";"13.40";7,5;3
"Rosario Aerodrome";2019-07-29;"N_BELT";"Santa Fe";"13.30";9,6;0
"Rosario Aerodrome";2019-07-30;"N_BELT";"Santa Fe";"17.50";1;0
"Rosario Aerodrome";2019-07-31;"N_BELT";"Santa Fe";"22.00";5,7;0
"Rosario Aerodrome";2019-08-01;"N_BELT";"Santa Fe";"17.70";10,4;0
"Rosario Aerodrome";2019-08-02;"N_BELT";"Santa Fe";"16.60";0,9;0
"Rosario Aerodrome";2019-08-03;"N_BELT";"Santa Fe";"18.00";-2,5;0
"Rosario Aerodrome";2019-08-04;"N_BELT";"Santa Fe";"18.30";-0,1;0
"Rosario Aerodrome";2019-08-05;"N_BELT";"Santa Fe";"19.40";3,9;0
"Rosario Aerodrome";2019-08-06;"N_BELT";"Santa Fe";"23.20";10,1;0
"Rosario Aerodrome";2019-08-07;"N_BELT";"Santa Fe";"18.90";7;0
"Rosario Aerodrome";2019-08-08;"N_BELT";"Santa Fe";"13.40";9,5;2
"Rosario Aerodrome";2019-08-09;"N_BELT";"Santa Fe";"11.10";7,3;1
"Rosario Aerodrome";2019-08-10;"N_BELT";"Santa Fe";"17.50";-0,7;0
"Rosario Aerodrome";2019-08-11;"N_BELT";"Santa Fe";"18.40";5,4;0
"Rosario Aerodrome";2019-08-12;"N_BELT";"Santa Fe";"16.00";5,1;0
"Rosario Aerodrome";2019-08-13;"N_BELT";"Santa Fe";"11.60";-1;0
"Rosario Aerodrome";2019-08-14;"N_BELT";"Santa Fe";"12.60";-2,3;0
"Rosario Aerodrome";2019-08-15;"N_BELT";"Santa Fe";"16.10";4,4;0
"Rosario Aerodrome";2019-08-16;"N_BELT";"Santa Fe";"22.30";4,5;0
"Rosario Aerodrome";2019-08-17;"N_BELT";"Santa Fe";"21.40";13,4;0
"Rosario Aerodrome";2019-08-18;"N_BELT";"Santa Fe";"16.00";3,9;0
"Rosario Aerodrome";2019-08-19;"N_BELT";"Santa Fe";"11.00";2,1;0
"Rosario Aerodrome";2019-08-20;"N_BELT";"Santa Fe";"12.60";4,9;0
"Rosario Aerodrome";2019-08-21;"N_BELT";"Santa Fe";"15.10";5,3;0
"Rosario Aerodrome";2019-08-22;"N_BELT";"Santa Fe";"20.00";7,2;0
"Rosario Aerodrome";2019-08-23;"N_BELT";"Santa Fe";"18.50";2,2;0
"Rosario Aerodrome";2019-08-24;"N_BELT";"Santa Fe";"20.60";7,9;0
"Rosario Aerodrome";2019-08-25;"N_BELT";"Santa Fe";"19.60";10,1;0
"Rosario Aerodrome";2019-08-26;"N_BELT";"Santa Fe";"23.00";9,7;0
"Rosario Aerodrome";2019-08-27;"N_BELT";"Santa Fe";"25.90";15;0
"Rosario Aerodrome";2019-08-28;"N_BELT";"Santa Fe";"29.00";16;0
"Rosario Aerodrome";2019-08-29;"N_BELT";"Santa Fe";"25.00";18,4;0
"Rosario Aerodrome";2019-08-30;"N_BELT";"Santa Fe";"20.30";9,6;0
"Rosario Aerodrome";2019-08-31;"N_BELT";"Santa Fe";"21.00";0,8;0
"Rosario Aerodrome";2019-09-01;"N_BELT";"Santa Fe";"17.70";2;0
"Rosario Aerodrome";2019-09-02;"N_BELT";"Santa Fe";"16.80";6,5;0
"Rosario Aerodrome";2019-09-03;"N_BELT";"Santa Fe";"14.10";-2,7;0
"Rosario Aerodrome";2019-09-04;"N_BELT";"Santa Fe";"15.30";-3,4;0
"Rosario Aerodrome";2019-09-05;"N_BELT";"Santa Fe";"13.30";5,8;0
"Rosario Aerodrome";2019-09-06;"N_BELT";"Santa Fe";"14.40";6;0
"Rosario Aerodrome";2019-09-07;"N_BELT";"Santa Fe";"21.30";10,1;0
"Rosario Aerodrome";2019-09-08;"N_BELT";"Santa Fe";"21.60";6,3;19
"Rosario Aerodrome";2019-09-09;"N_BELT";"Santa Fe";"15.90";11,5;9
"Rosario Aerodrome";2019-09-10;"N_BELT";"Santa Fe";"16.40";11,3;1e-04
"Rosario Aerodrome";2019-09-11;"N_BELT";"Santa Fe";"19.20";9;0
"Rosario Aerodrome";2019-09-12;"N_BELT";"Santa Fe";"19.50";4,1;0
"Rosario Aerodrome";2019-09-13;"N_BELT";"Santa Fe";"20.00";3,9;0
"Rosario Aerodrome";2019-09-14;"N_BELT";"Santa Fe";"22.30";10;0
"Rosario Aerodrome";2019-09-15;"N_BELT";"Santa Fe";"26.10";12;0
"Rosario Aerodrome";2019-09-16;"N_BELT";"Santa Fe";"22.50";12,7;0
"Rosario Aerodrome";2019-09-17;"N_BELT";"Santa Fe";"23.70";-0,9;0
"Rosario Aerodrome";2019-09-18;"N_BELT";"Santa Fe";"25.50";2;0
"Rosario Aerodrome";2019-09-19;"N_BELT";"Santa Fe";"18.10";10,5;0
"Rosario Aerodrome";2019-09-20;"N_BELT";"Santa Fe";"21.60";-1,9;0
"Rosario Aerodrome";2019-09-21;"N_BELT";"Santa Fe";"25.50";0,9;0
"Rosario Aerodrome";2019-09-22;"N_BELT";"Santa Fe";"21.70";5,1;0
"Rosario Aerodrome";2019-09-23;"N_BELT";"Santa Fe";"24.40";10,9;0
"Rosario Aerodrome";2019-09-24;"N_BELT";"Santa Fe";"26.00";5,6;0
"Rosario Aerodrome";2019-09-25;"N_BELT";"Santa Fe";"29.80";6,3;0
"Rosario Aerodrome";2019-09-26;"N_BELT";"Santa Fe";"30.00";8,8;0
"Rosario Aerodrome";2019-09-27;"N_BELT";"Santa Fe";"25.30";12,5;0
"Rosario Aerodrome";2019-09-28;"N_BELT";"Santa Fe";"26.90";11,7;0
"Rosario Aerodrome";2019-09-29;"N_BELT";"Santa Fe";"32.70";12,4;0
"Rosario Aerodrome";2019-09-30;"N_BELT";"Santa Fe";"35.80";20,1;12
"Rosario Aerodrome";2019-10-01;"N_BELT";"Santa Fe";"19.50";10,8;2
"Rosario Aerodrome";2019-10-02;"N_BELT";"Santa Fe";"20.50";9,9;0
"Rosario Aerodrome";2019-10-03;"N_BELT";"Santa Fe";"15.40";11;2
"Rosario Aerodrome";2019-10-04;"N_BELT";"Santa Fe";"16.20";11,8;8
"Rosario Aerodrome";2019-10-05;"N_BELT";"Santa Fe";"20.20";8,9;0
"Rosario Aerodrome";2019-10-06;"N_BELT";"Santa Fe";"21.60";5,7;0
"Rosario Aerodrome";2019-10-07;"N_BELT";"Santa Fe";"25.60";8,9;1e-04
"Rosario Aerodrome";2019-10-08;"N_BELT";"Santa Fe";"24.40";12,4;1
"Rosario Aerodrome";2019-10-09;"N_BELT";"Santa Fe";"28.70";13,6;0
"Rosario Aerodrome";2019-10-10;"N_BELT";"Santa Fe";"31.90";17,4;0
"Rosario Aerodrome";2019-10-11;"N_BELT";"Santa Fe";"31.70";21,6;0
"Rosario Aerodrome";2019-10-12;"N_BELT";"Santa Fe";"27.70";20,4;9
"Rosario Aerodrome";2019-10-13;"N_BELT";"Santa Fe";"23.70";17,7;5
"Rosario Aerodrome";2019-10-14;"N_BELT";"Santa Fe";"14.70";9;1e-04
"Rosario Aerodrome";2019-10-15;"N_BELT";"Santa Fe";"11.90";8,4;1
